,S.No,Parliament Constituency,Leading Candidate,Total Votes,Margin,party
274,81,Maldaha Dakshin(8),ISHA KHAN CHOUDHURY,499713,96499,Indian National Congress
275,165,Jhansi(46),ANURAG SHARMA,646922,96778,Bharatiya Janata Party
276,8,Barasat(17),KAKOLI GHOSH DASTIDAR,505531,97886,All India Trinamool Congress
277,61,KARAULI-DHOLPUR (10),BHAJAN LAL JATAV,524450,98264,Indian National Congress
278,4,Murshidabad(11),ABU TAHER KHAN,430713,98491,All India Trinamool Congress
279,18,Bellary(9),E. TUKARAM,718727,98600,Indian National Congress
280,107,Pune(34),MURLIDHAR MOHOL,460418,98724,Bharatiya Janata Party
281,20,Kaushambi(50),PUSHPENDRA SAROJ,479634,99750,Samajwadi Party
282,13,ERODE(17),K E PRAKASH,252605,99952,Dravida Munnetra Kazhagam
283,3,Moradabad(6),RUCHI VIRA,595701,100125,Samajwadi Party
284,1,Sangli(44),VISHAL (DADA) PRAKASHBAPU PATIL,569329,100304,Independent
285,226,North-East Delhi(2),MANOJ TIWARI,666742,101000,Bharatiya Janata Party
286,206,Ranchi(8),SANJAY SETH,476402,101054,Bharatiya Janata Party
287,5,Maval(33),SHRIRANG APPA CHANDU BARNE,666140,101659,Shiv Sena
288,5,Jamui(40),ARUN BHARTI,437914,101873,Lok Janshakti Party
289,85,MANDLA(14),FAGGAN SINGH KULASTE,749761,104002,Bharatiya Janata Party
290,73,KANNIYAKUMARI(39),VIJAYAKUMAR (Alias) VIJAY VASANTH,274895,104659,Indian National Congress
291,3,RAMANATHAPURAM(35),NAVASKANI K,316278,104846,Indian Union Muslim League
292,48,Inner Manipur(1),ANGOMCHA BIMOL AKOIJAM,358889,105436,Indian National Congress
293,23,Kannur(2),K. SUDHAKARAN,495764,107726,Indian National Congress
294,40,Gadchiroli - Chimur(12),DR. KIRSAN  NAMDEO,482584,108877,Indian National Congress
295,217,Nizamabad(4),ARVIND DHARMAPURI,588780,109088,Bharatiya Janata Party
296,231,South Delhi(7),RAMVIR SINGH BIDHURI,657641,109909,Bharatiya Janata Party
297,7,VELLORE(8),DM KATHIR ANAND,316889,110071,Dravida Munnetra Kazhagam
298,113,Sambalpur(3),DHARMENDRA PRADHAN,512841,111157,Bharatiya Janata Party
299,47,Kolhapur(47),CHHATRAPATI SHAHU SHAHAJI,588663,111387,Indian National Congress
300,87,CHHINDWARA(16),BUNTY VIVEK SAHU,635096,112135,Bharatiya Janata Party
301,205,Dhanbad(7),DULU MAHATO,367402,112155,Bharatiya Janata Party
302,70,SIVAGANGA(31),KARTI P CHIDAMBARAM,241813,112404,Indian National Congress
303,64,BARMER(17),UMMEDA RAM BENIWAL,671842,112524,Indian National Congress
304,3,Singhbhum(10),JOBA MAJHI,371304,112804,Jharkhand Mukti Morcha
305,26,North Goa(1),SHRIPAD YESSO NAIK,253812,113621,Bharatiya Janata Party
